epoch,RMSE,acc,loss,lr,top_k_categorical_accuracy,val_RMSE,val_acc,val_loss,val_top_k_categorical_accuracy
53,0.07314768,0.8682126,0.3804729785043955,0.001981,0.9946813,0.07115294,0.8714,0.3818482879219176,0.9932
54,0.073803075,0.8680568,0.38649859338420467,0.0067825,0.9940582,0.085875995,0.848,0.4433880257832853,0.9924
55,0.07339781,0.86977035,0.3813315702753812,0.008416,0.9947258,0.0739151,0.8638,0.39753662974019593,0.9946
56,0.070365645,0.8731752,0.36771877473712666,0.0036145,0.99488163,0.10457969,0.7966,0.5955506151990045,0.9806
57,0.07372137,0.86658806,0.3886063001600262,0.001387,0.9940582,0.06835874,0.8742,0.3802885214173341,0.9932
58,0.064694665,0.88528126,0.335032995939467,0.0061885,0.9951932,0.07063633,0.87,0.39046202533984486,0.9938
59,0.060059432,0.8941161,0.30578254005154276,0.00901,0.99650615,0.07190546,0.8618,0.40569744721243656,0.992
60,0.060477495,0.8927141,0.3082589208602226,0.0042085,0.9960833,0.064642586,0.8816,0.3532368019223213,0.994
61,0.060556337,0.89135844,0.3100060288334639,0.000793,0.99682164,0.06318629,0.882,0.34987315412940856,0.9944
62,0.061164696,0.89106506,0.3126278386927756,0.0055945,0.99614525,0.069132194,0.873,0.38270673580184766,0.9938
63,0.05928392,0.8960744,0.3031819746951436,0.009604,0.99648386,0.071994565,0.866,0.3913261239664464,0.9934
64,0.05958679,0.8956516,0.3043158810180512,0.0048025,0.9960611,0.06392316,0.88,0.350155564520178,0.9952
65,0.06205987,0.8901326,0.31705649401637737,0.000199,0.99621683,0.061802223,0.8812,0.3451350921694237,0.9958
66,0.06349407,0.8871506,0.32932721496753176,0.0050005,0.995438,0.06830879,0.8698,0.39609571159640444,0.9952
67,0.060656548,0.89329267,0.3107511175152074,0.009802,0.9965729,0.07078457,0.8632,0.4177746948184846,0.9926
