epoch,RMSE,acc,loss,lr,top_k_categorical_accuracy,val_RMSE,val_acc,val_loss,val_top_k_categorical_accuracy
46,0.19176096,0.6016112,1.1251576658413251,0.0079705,0.94843775,0.18852149,0.6214,1.0556378153306019,0.959
47,0.19261637,0.6011216,1.1322288979876183,0.007228,0.9488606,0.18001743,0.6446,0.9995266885697087,0.9668
48,0.19192019,0.60214525,1.1278446801769493,0.0024265,0.9499956,0.17283154,0.6642,0.960571505600893,0.9668
49,0.19080882,0.6047297,1.1198949435696663,0.002575,0.9499022,0.17586975,0.6524,0.985336837889273,0.9622
50,0.18940191,0.60864526,1.106418021371233,0.0073765,0.9507353,0.17840384,0.6394,1.0142730896985983,0.9598
51,0.18750033,0.61387306,1.0979430074684982,0.007822,0.951264,0.17662197,0.643,0.9908094541935981,0.9624
52,0.1880991,0.6108688,1.10276492327075,0.0030205,0.9517536,0.16939326,0.6746,0.9369053101237816,0.9666
53,0.18711801,0.6144294,1.0964555113006151,0.001981,0.9512418,0.1699259,0.6654,0.950271790540671,0.9692
54,0.18613723,0.61569786,1.0860515365147263,0.0067825,0.95366746,0.17552896,0.6548,0.9730590853510024,0.9648
55,0.18403679,0.62063825,1.0724189357441771,0.008416,0.95424604,0.17384085,0.6516,0.99183067415334,0.9602
56,0.18368755,0.6211993,1.0712355272698708,0.0036145,0.9544586,0.16555236,0.6756,0.9173294486878794,0.9702
57,0.1845955,0.61824864,1.0783983781057245,0.001387,0.9534091,0.16729169,0.6758,0.9291568134404435,0.9664
58,0.18176223,0.626402,1.0578063352264626,0.0061885,0.95462435,0.17277256,0.6482,0.9733466596543034,0.9664
59,0.18170334,0.6266245,1.05918417614466,0.00901,0.9548246,0.17066766,0.6648,0.9490782588343077,0.9676
60,0.18055654,0.6320012,1.0499118664017104,0.0042085,0.95570326,0.16432507,0.6814,0.909916977339153,0.969
61,0.18079059,0.6309715,1.0515016301642977,0.000793,0.9547683,0.16134578,0.6848,0.8852940262118473,0.9712
62,0.17953284,0.6320322,1.0443738962123885,0.0055945,0.95598185,0.16824219,0.6726,0.9530700807329975,0.9638
63,0.1764328,0.6400436,1.019178900914789,0.009604,0.95905286,0.17013755,0.6716,0.9406883022453212,0.967
64,0.17850654,0.63503647,1.0348524715163137,0.0048025,0.9562934,0.16150823,0.6822,0.8848317220241209,0.9706
65,0.17769827,0.6387974,1.0303919069045842,0.000199,0.9558928,0.16090377,0.6942,0.884117789660828,0.9726
66,0.17676453,0.63790727,1.025158066415948,0.0050005,0.95720583,0.164542,0.6818,0.90978424534013,0.9716
67,0.1754324,0.6426028,1.0170106142891966,0.009802,0.95805144,0.17228739,0.6624,0.9537550097779383,0.9652
68,0.17441988,0.6473206,1.011566517636172,0.0053965,0.9580737,0.15843007,0.6966,0.8719908036763155,0.9742
69,0.1754245,0.6424025,1.015694024491951,0.000595,0.9583185,0.1576343,0.6952,0.8599665564826772,0.9758
70,0.17364512,0.64747065,1.0047312203376086,0.0044065,0.95925945,0.16037789,0.6876,0.8784731679324862,0.9696
71,0.1720303,0.653877,0.9936750482960394,0.009208,0.95953655,0.16266176,0.6822,0.9121784424480004,0.9676
72,0.17054573,0.6541526,0.986344987543448,0.0059905,0.9603881,0.15893957,0.6928,0.8756641730477538,0.9708
73,0.17172402,0.65117055,0.9938056746135302,0.001189,0.9594757,0.15414771,0.6968,0.8448058977911744,0.9736
74,0.17071731,0.65410805,0.9848578221988525,0.0038125,0.96143407,0.1624806,0.6934,0.886779672737363,0.9706
75,0.16886184,0.6610513,0.976126012825257,0.008614,0.9608777,0.16425969,0.683,0.9095828819878494,0.9672
